Taxon Id	Common name	Scientific name	Parent	Rank
1131633		Porphyrio poliocephalus seistanicus	1004780	subspecies
1131636	Jurua woodcreeper	Xiphorhynchus juruanus	75968	species
1131695	Bahama oriole	Icterus northropi	84804	species
1132477		Saundersilarus	8910	genus
1132478	Saunders's gull	Chroicocephalus saundersi	1129741	species
1132578		Calicalicus	461249	genus
1132579		Calicalicus madagascariensis	1132578	species
1132580		Vireolanius melitophrys	34959	species
1133753		Monarcha castaneiventris ugiensis	338458	subspecies
1133759		Monarcha castaneiventris megarhynchus	338458	subspecies
1134341		Setophaga petechia castaneiceps	123631	subspecies
1134342		Setophaga petechia chrysendeta	123631	subspecies
1134343		Setophaga petechia rhizophorae	123631	subspecies
1134344		Setophaga petechia xanthotera	123631	subspecies
1134345		Setophaga petechia babad	123631	subspecies
1134346		Setophaga petechia paraguanae	123631	subspecies
1134347		Setophaga petechia cienagae	123631	subspecies
1134348		Setophaga petechia aureola	123631	subspecies
1134349		Setophaga petechia aurifrons	123631	subspecies
1134350		Setophaga petechia aequatorialis	123631	subspecies
1134381		Setophaga petechia peruviana	123631	subspecies
1134382		Setophaga petechia eoa	123631	subspecies
1134383		Setophaga petechia gundlachi	123631	subspecies
1134384		Setophaga petechia albicollis	123631	subspecies
1134385		Setophaga petechia bartholemica	123631	subspecies
1134386		Setophaga petechia melanoptera	123631	subspecies
1134387		Setophaga petechia ruficapilla	123631	subspecies
1134388		Setophaga petechia cruciana	123631	subspecies
1138862		Passer domesticus biblicus	48849	subspecies
1138863		Passer domesticus persicus	48849	subspecies
1138864		Passer domesticus niloticus	48849	subspecies
1138865		Passer domesticus hyrcanus	48849	subspecies
1138868		Passer domesticus bactrianus	48849	subspecies
1149624		Alcippe nipalensis	181644	species
1149625		Garrulax maesi	98126	species
1149626		Garrulax merulinus	98126	species
1149627		Garrulax palliatus	98126	species
1149628		Moupinia	9173	genus
1149629		Moupinia poecilotis	1149628	species
1149631		Heterophasia gracilis	201325	species
1149632		Heterophasia pulchella	201325	species
1149633		Leioptila annectens	2183798	species
1149634		Heterophasia picaoides	201325	species
1149639		Leonardina	9173	genus
1149640		Leonardina woodi	1149639	species
1149641		Malacopteron albogulare	201342	species
1149642		Malacocincla cinereiceps	201340	species
1149643		Malacopteron magnum	201342	species
1149644		Malacopteron palawanense	201342	species
1149645		Malia	2116660	genus
1149646		Malia grata	1149645	species
1149647		Micromacronus	9173	genus
1149648		Micromacronus leytensis	1149647	species
